PID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
34,-23.111153,-19.360619,-20.289352,-19.755754,-18.580835,-16.650074,-16.252232,-15.642847,-15.3663025,-15.128601,-14.324116,-14.3765545,-15.745953,-19.216663,-20.80315,-21.864794,-22.112022,-21.337004,-21.408073,-19.917446,-22.566366,-22.658604,-21.69385,-22.904516,-23.442749,-21.866547,-23.15656,-22.93827,-23.413147,-23.06261,-23.548069,-22.023739,-22.828678,-22.872803,-23.146389,-23.041332
35,-22.332203,-20.455198,-20.215103,-18.746374,-17.626791,-16.860584,-17.920042,-16.634657,-14.642632,-15.455633,-14.967356,-16.064741,-15.476423,-18.08985,-19.402534,-21.075165,-21.131184,-19.716007,-18.799332,-17.161905,-21.92337,-22.382605,-22.072304,-23.066614,-23.356937,-21.646893,-22.667423,-23.127617,-23.198715,-22.85302,-23.291302,-22.111074,-22.776585,-22.939081,-22.930555,-23.043146
36,-17.10242,-16.363232,-16.389563,-15.63171,-15.265593,-14.588047,-14.738049,-14.899727,-13.878805,-15.173793,-15.458675,-16.922264,-13.829837,-15.84015,-13.733597,-14.238111,-16.870943,-16.844154,-16.88747,-16.468243,-15.928641,-15.919986,-15.254692,-14.98131,-13.708878,-13.7064085,-15.07379,-16.917843,-17.326073,-15.837353,-15.8222065,-14.831563,-14.2468605,-13.888569,-14.018859,-15.375244
37,-14.106819,-14.954102,-15.6001625,-17.017105,-16.37875,-18.941685,-19.35553,-20.126509,-16.980164,-18.114513,-16.81569,-15.397596,-16.348633,-16.736708,-15.843203,-21.2272,-15.738306,-16.526157,-15.217054,-15.452692,-16.86417,-16.693033,-15.699907,-14.362136,-15.883328,-16.877972,-17.61182,-18.756039,-21.265709,-19.436264,-16.640402,-17.6981,-15.491121,-14.994295,-14.497477,-14.043293
38,-22.510881,-20.19351,-19.329082,-18.627369,-16.975298,-16.703835,-16.460463,-15.446238,-13.571273,-14.271198,-13.909965,-14.877197,-15.898007,-17.153313,-20.099295,-21.55429,-21.085339,-17.601921,-16.061077,-15.67156,-20.732456,-21.867662,-21.286041,-22.717525,-23.527874,-22.094326,-23.212378,-22.99886,-24.019987,-23.295364,-23.517323,-22.361614,-23.303864,-23.091206,-23.647388,-23.33484
39,-14.430452,-15.446726,-15.201992,-16.567501,-16.031775,-18.494694,-19.481234,-19.192268,-16.630789,-18.07682,-16.543894,-14.771281,-15.529903,-17.178917,-16.330591,-16.806059,-16.028084,-16.255505,-15.242423,-14.864485,-14.269926,-14.381363,-14.004736,-14.427927,-15.810346,-17.322184,-16.607304,-16.231344,-19.066273,-17.314936,-15.73303,-15.937867,-14.386351,-14.189707,-13.600433,-13.907718
40,-14.845458,-14.267346,-14.744797,-14.764479,-15.344175,-15.820936,-16.251972,-15.433798,-12.979357,-13.895363,-13.974401,-14.036147,-12.72072,-13.093097,-13.390615,-13.750034,-13.994204,-14.004396,-14.130365,-13.053197,-12.676399,-13.762675,-14.4342,-12.66515,-14.205205,-14.7068,-14.622177,-15.723626,-19.117443,-16.504166,-16.686062,-17.250717,-17.912703,-16.3247,-15.539122,-15.299829
41,-14.307154,-14.155726,-14.302808,-14.224032,-14.103427,-14.33074,-14.262096,-14.249994,-14.070507,-14.00967,-13.816362,-14.087196,-13.25898,-13.9096365,-13.713442,-13.495335,-13.799039,-13.682023,-13.569094,-13.3661995,-13.187357,-13.544523,-13.677783,-13.59188,-13.06549,-12.939877,-13.351658,-13.175411,-13.960129,-13.985562,-13.622801,-13.487882,-13.551345,-13.60771,-13.483109,-14.030494
42,-14.985716,-15.219332,-15.458555,-15.641131,-15.686232,-16.084032,-16.606815,-16.443132,-14.443549,-14.758289,-14.26306,-15.594894,-14.488447,-14.894248,-14.564243,-14.731329,-14.987937,-14.71683,-14.138956,-14.040584,-13.211079,-13.76609,-15.018148,-12.839275,-13.812953,-13.935803,-13.487944,-13.5832615,-16.545727,-15.273465,-14.297277,-14.277575,-13.886623,-13.7691,-13.900751,-15.063767
43,-14.520564,-15.118761,-16.92734,-18.077766,-17.193756,-18.811989,-19.033613,-19.49578,-16.434021,-17.686035,-16.478416,-15.831173,-14.772051,-15.266586,-16.00871,-18.959007,-15.586872,-16.427753,-15.5793915,-15.549938,-15.529663,-15.267319,-15.090902,-14.020624,-14.652624,-15.215195,-15.134979,-16.716633,-18.948967,-16.84803,-15.555037,-15.724516,-14.666225,-14.41623,-13.803074,-14.224079
